timestamp,host_id,cpu_percent,memory_percent,disk_io_percent,network_in_mbps,network_out_mbps,temperature_celsius,power_watts,network_latency_ms,packet_loss_percent,error_count,fault_active,fault_type,early_warning
0,0,41.357538294764865,64.8647172960077,40.57471966999081,57.218467551822705,18.59457806676853,59.46314735753081,197.8948573199764,1.2323195802577698,0.2693639380109388,1,False,NONE,False
5,0,30.446535552822954,57.37899853377598,17.076029186275065,44.836304029273215,53.29720107756528,48.253050133834954,179.6185442926386,0.8995574355896764,0.3818807751704673,0,False,NONE,False
10,0,29.037342047186442,67.3190745754081,20.00909069654357,39.72425016983508,50.42381041709342,47.707415395066214,186.74523373243574,1.4645814952955425,0.14176273677104487,1,False,NONE,False
15,0,38.53527193258384,56.4658718141919,28.73752372228234,74.74032145872923,19.323380074940054,56.690113294375706,239.49142393906973,2.9690724601769287,0.4024787693145581,0,False,NONE,False
20,0,37.856755167438074,54.48644631628604,40.91749671248801,37.6186127929008,51.410876947008845,54.89059562830617,224.3610087551302,8.005987911633374,0.08168172769024176,0,False,NONE,False
25,0,36.10541975696518,66.31738243800538,36.472341948945626,28.064954028456206,32.7185718494351,59.437558072081345,212.1096626169535,2.143663459977233,0.05056061877167786,1,False,NONE,False
30,0,52.48940699139911,60.5251932648898,47.538114704289335,67.46633938178853,48.70170241212007,47.78258324151881,179.44578271823022,0.9615863015836068,2.0133899683206615,0,False,NONE,False
35,0,47.41240635045218,60.50259679786546,37.52394548019259,47.061092141592546,48.251213527323955,59.82405291164218,178.70337694273988,9.375525249677585,0.9700982729817855,0,False,NONE,False
40,0,48.53997786494901,74.3087508586037,38.50341106180631,46.70999131676191,42.42616317526452,45.32714902249475,203.0131808696656,0.9674702020830399,0.009120359299355008,0,False,NONE,False
45,0,39.84285060147553,56.299785118385984,13.312539685058283,67.34458997952888,62.25144905183937,57.09059260977793,162.26943908428723,3.554662803096096,0.5057578076637647,0,False,NONE,False
50,0,43.158909071523155,60.474250272425564,43.65768327742002,49.4054928462522,10.145228220277195,50.76321235943678,227.28866894640637,9.981666245087412,0.13080270059554885,0,False,NONE,False
55,0,51.720289038044,71.83879020158842,35.95161421906693,14.334978756689525,40.623579712673724,56.63611693182933,210.13150603345065,15.295687534745536,0.20079902591174384,0,False,NONE,False
60,0,43.36398763786252,60.40503848732133,26.73814534643964,40.49485303199049,34.03127923408056,50.93239451519988,153.63863503624341,2.510084893635924,0.9296332463302233,1,False,NONE,False
65,0,37.31981648157127,65.08090040721584,13.796986949392718,23.88604891917819,31.48628682478189,49.872500651399214,176.33920777329894,9.441455205654872,0.07345095124607601,1,False,NONE,False
70,0,33.33056625043487,46.465453949997574,39.8519599674597,21.28198361251936,23.701218813820457,57.474978270958474,196.69380770892874,0.2605130091498027,1.0884925622193238,0,False,NONE,False
75,0,33.1282482466749,47.51554342050185,60.00522133659155,25.997365245396736,66.62484799591844,55.749168581697994,202.81814736142644,1.4400863799034622,0.019804456149710364,0,False,NONE,False
80,0,20.084622134685862,63.408206934672016,21.880718375400487,65.53646008851206,44.142413199173205,57.5934722885889,192.17196375836338,2.6496506669968807,0.6011740803325418,0,False,NONE,False
85,0,44.38022597421675,49.536685602645,0.1410067563395423,32.84902228677799,60.12009677920372,63.906455385131835,186.45168664570485,0.2997777046435142,1.2338108158381944,0,False,NONE,False
90,0,36.80644922185222,58.36306795617929,34.06592623113395,94.89613212021128,30.82316561354031,64.61812206072639,176.32853664110925,0.6401024439718548,0.20918374352307187,0,False,NONE,False
95,0,42.289704322304374,57.754760997273436,20.94036120753378,39.01494185271396,64.74233257994527,65.56556078479102,190.03186754587108,0.2462607063565395,1.48939560941904,1,False,NONE,False
100,0,71.87033338072969,60.673308168063365,44.58949300348187,80.88949677415584,51.193226365236406,59.631162714425166,212.1567708066961,4.259156088880758,0.0687699096696548,2,False,NONE,False
